event_id_cnty,event_date,year,event_type,actor1,actor2,latitude,longitude,fatalities,dyad_name
UKR22507,04/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),48.0961,37.7214,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22529,04/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,47.7492,37.6777,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22452,03/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.9425,37.505,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22470,03/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.1298,37.8594,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22352,01/07/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2014-2019),47.1478,37.7881,2,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2014-2019)
UKR22368,01/07/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.1298,37.8594,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
RUS2670,01/07/2019 00:00,2019,Battles,Islamic State (Russia),Police Forces of Russia (2000-),43.1613,45.1962,2,Islamic State (Russia) - Police Forces of Russia (2000-)
UKR22314,30/06/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.2444,37.9747,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22238,29/06/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.416,38.1346,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
UKR22016,25/06/2019 00:00,2019,Battles,Military Forces of Ukraine (2014-2019),NAF: United Armed Forces of Novorossiya,48.1716,37.8597,1,Military Forces of Ukraine (2014-2019) - NAF: United Armed Forces of Novorossiya
