event_id_cnty,event_date,year,event_type,actor1,actor2,latitude,longitude,fatalities,dyad_name
UKR27130,16/10/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR27117,15/10/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.9425,37.505,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR27118,15/10/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),48.1394,37.7497,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR29997,15/10/2019 00:00,2019,Violence against civilians,NAF: United Armed Forces of Novorossiya,Civilians (Ukraine),48.015,37.8014,1,NAF: United Armed Forces of Novorossiya - Civilians (Ukraine)
UKR26734,10/10/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),48.1394,37.7497,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR26706,08/10/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),48.0669,37.6664,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR26672,06/10/2019 00:00,2019,Explosions/Remote violence,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.7158,37.5919,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR26475,04/10/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR26421,03/10/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.7158,37.5919,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR26357,02/10/2019 00:00,2019,Explosions/Remote violence,Unidentified Armed Group (Ukraine),NAF: United Armed Forces of Novorossiya,48.0669,37.6664,1,Unidentified Armed Group (Ukraine) - NAF: United Armed Forces of Novorossiya
UKR26171,29/09/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.38,38.3471,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR26193,29/09/2019 00:00,2019,Battles,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.2737,37.9725,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR25898,27/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.1478,37.7881,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR25820,25/09/2019 00:00,2019,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.6963,38.6738,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR25850,24/09/2019 00:00,2019,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),47.9425,37.505,1,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
RUS3130,18/09/2019 00:00,2019,Battles,Police Forces of Russia (2000-) Federal Security Service,Islamic State (Russia),43.5623,43.5911,2,Police Forces of Russia (2000-) Federal Security Service - Islamic State (Russia)
