,id,year,dyad_name,longitude,latitude,country,country_id,side_a_new_id,side_a,side_b_new_id,side_b,deaths_total,event_civilian,event_relevant,boko_haram_involved,
26,17161,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.5,12,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12,0,1,0,Yes
27,17162,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.5,12,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
28,17165,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.9608,11.747,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
29,17166,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.684809,10.936778,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
30,17167,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.0694,11.7091,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
31,17168,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.0694,11.7091,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,43,0,1,0,Yes
32,41261,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,3,0,1,0,Yes
33,41262,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,7.75,10.333333,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
34,41263,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,7,0,1,0,Yes
35,41268,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.0482,12.871,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
36,41297,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.15166,11.83537,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
37,41309,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.9608,11.747,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
38,41310,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.0694,11.7091,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
39,41314,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.51179,10.83342,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
40,41315,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
41,41321,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
42,41330,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
43,41347,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12.5,9.333333,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
44,41349,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
45,41357,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12.19458,10.61285,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
46,41358,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
47,41369,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
48,41383,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,10.23614,12.7907,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1,0,1,0,Yes
49,41384,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.0694,11.7091,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8,0,1,0,Yes
50,41385,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
51,41387,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.26436,10.26761,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
52,41388,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.513807,11.994354,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,185,0,1,0,Yes
53,41389,2012,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
