"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","al_shabaab_involved","al_shabaab_involved_txt"
"3862",207506,2015,"2015-07-14",43.247629,3.808228,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3863",207523,2015,"2015-07-16",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",8,1,0,1,"Yes"
"3864",207577,2015,"2015-07-22",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",15,1,0,1,"Yes"
"3865",207603,2015,"2015-07-22",44,4,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",18,1,0,1,"Yes"
"3866",207604,2015,"2015-07-22",42.285637,2.338564,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",21,1,0,1,"Yes"
"3867",207607,2015,"2015-07-24",42.976677,2.410514,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",7,1,0,1,"Yes"
"3868",207608,2015,"2015-07-25",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",3,1,0,1,"Yes"
"3869",208039,2015,"2015-07-26",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",13,1,0,1,"Yes"
"3870",208083,2015,"2015-07-27",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3871",208084,2015,"2015-07-27",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3872",208182,2015,"2015-07-29",42.285637,2.338564,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",26,1,0,1,"Yes"
"3873",208184,2015,"2015-07-28",46.1344,4.06172,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3874",208185,2015,"2015-08-04",42.750556,0.072222,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3875",208188,2015,"2015-08-05",44.083333,2.783333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",2,1,0,1,"Yes"
"3876",208323,2015,"2015-08-10",45.203611,4.735833,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3877",208324,2015,"2015-08-04",45.563259,4.211071,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3878",208325,2015,"2015-08-05",44.76388,1.71305,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3879",208331,2015,"2015-08-10",42.976677,2.410514,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
"3880",208334,2015,"2015-08-04",45.563259,4.211071,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3881",208356,2015,"2015-08-11",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3882",208371,2015,"2015-08-15",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3883",208374,2015,"2015-08-17",46.4652,5.026,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",9,1,0,1,"Yes"
"3884",208375,2015,"2015-08-17",47,5,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",9,1,0,1,"Yes"
"3885",208377,2015,"2015-08-17",43.247629,3.808228,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",9,1,0,1,"Yes"
"3886",208392,2015,"2015-08-16",45.203611,4.735833,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",25,1,0,1,"Yes"
"3887",208415,2015,"2015-08-21",42,3,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",1,1,0,1,"Yes"
"3888",208436,2015,"2015-08-22",42.545365,-0.358173,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",16,1,0,1,"Yes"
"3889",208437,2015,"2015-08-22",45.366667,2.066667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",5,1,0,1,"Yes"
"3890",208703,2015,"2015-08-24",42.285637,2.338564,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",31,1,0,1,"Yes"
"3891",208704,2015,"2015-08-24",44.083333,2.783333,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",9,1,0,1,"Yes"
"3892",208748,2015,"2015-08-26",43.9,4.116667,"Government of Somalia - Al-Shabaab","Government of Somalia","Al-Shabaab",10,1,0,1,"Yes"
