"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","farc_eln_involved"
"2231",221878,1998,"1998-04-13",-76,0.5,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2232",221879,1998,"1998-04-13",-71.87523,6.953758,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"2233",221881,1998,"1998-03-24",-74.166667,5,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2234",221882,1998,"1998-03-23",-74.166667,5,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2235",221883,1998,"1998-03-31",-73.751561,3.124283,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2236",221884,1998,"1998-04-30",-73,8,"Government of Colombia - ELN","Government of Colombia","ELN",2,1,0,"ELN"
"2237",221890,1998,"1998-05-21",-74.74177,4.80165,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2238",221892,1998,"1998-04-13",-70.20415,6.30173,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2239",221893,1998,"1998-04-12",-73.56142,4.25833,"Government of Colombia - FARC","Government of Colombia","FARC",22,1,0,"FARC"
"2240",221894,1998,"1998-04-14",-75.21667,6.4,"Government of Colombia - ELN","Government of Colombia","ELN",7,1,0,"ELN"
"2241",221895,1998,"1998-05-07",-72.13328,2.89115,"Government of Colombia - FARC","Government of Colombia","FARC",21,1,0,"FARC"
"2242",221898,1998,"1998-05-08",-75.310685,5.71062,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"2243",221900,1998,"1998-08-04",-77.031164,3.880099,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2244",221905,1998,"1998-05-21",-75.48009,3.91423,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2245",221906,1998,"1998-05-16",-73.854722,7.065278,"AUC - ELN","AUC","ELN",11,1,0,"ELN"
"2246",221907,1998,"1998-05-21",-73.86884,8.2752,"Government of Colombia - ELN","Government of Colombia","ELN",16,1,0,"ELN"
"2247",221911,1998,"1998-05-28",-71.5,5.5,"Government of Colombia - FARC","Government of Colombia","FARC",7,1,0,"FARC"
"2248",221915,1998,"1998-05-31",-73.854722,7.065278,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2249",221916,1998,"1998-05-16",-73.854722,7.065278,"AUC - ELN","AUC","ELN",25,1,0,"ELN"
"2250",221918,1998,"1998-08-03",-75.563591,6.25184,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2251",221919,1998,"1998-05-28",-76.66269,7.76009,"AUC - FARC","AUC","FARC",41,1,0,"FARC"
"2252",221922,1998,"1998-07-06",-74.5,10,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"2253",221924,1998,"1998-07-18",-74.333333,9,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2254",221925,1998,"1998-07-24",-76,0.5,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"2255",221926,1998,"1998-07-11",-73.751561,3.124283,"Government of Colombia - FARC","Government of Colombia","FARC",4,1,0,"FARC"
"2256",221927,1998,"1998-07-18",-76.41668,3.23114,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2257",221930,1998,"1998-08-01",-74.00353,8.88214,"Government of Colombia - ELN","Government of Colombia","ELN",15,1,0,"ELN"
"2258",221931,1998,"1998-08-03",-76,0.5,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"2259",221932,1998,"1998-08-03",-75.69947,8.79577,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"2260",221934,1998,"1998-08-03",-71.951111,1.336667,"Government of Colombia - FARC","Government of Colombia","FARC",44,1,0,"FARC"
"2261",221935,1998,"1998-08-04",-74.354969,3.240895,"Government of Colombia - FARC","Government of Colombia","FARC",46,1,0,"FARC"
"2262",221939,1998,"1998-08-14",-76.66269,7.76009,"Government of Colombia - FARC","Government of Colombia","FARC",99,1,0,"FARC"
"2263",221943,1998,"1998-11-01",-70.23472,1.25778,"Government of Colombia - FARC","Government of Colombia","FARC",101,1,0,"FARC"
