year,date_start,longitude,latitude,side_a,side_b,deaths_total,event_relevant,myanmar_gov_involved
2011,2011-08-31 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),KNU,2,1,Yes
2011,2011-10-29 00:00:00.000,97.7,17.7,Government of Myanmar (Burma),KNU,1,1,Yes
2011,2011-10-29 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),KNU,2,1,Yes
2011,2011-11-21 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),KNU,3,1,Yes
2011,2011-11-24 00:00:00.000,98,22,Government of Myanmar (Burma),KNU,3,1,Yes
2012,2012-08-05 00:00:00.000,97.7,17.7,Government of Myanmar (Burma),KNU,4,1,Yes
2014,2014-09-09 00:00:00.000,97.445,18.064,Government of Myanmar (Burma),KNU,1,1,Yes
2014,2014-09-27 00:00:00.000,96.772247,18.327769,Government of Myanmar (Burma),KNU,1,1,Yes
2015,2015-02-27 00:00:00.000,98.510324,16.664698,Government of Myanmar (Burma),KNU,1,1,Yes
2015,2015-02-27 00:00:00.000,97.376831,18.068215,Government of Myanmar (Burma),KNU,1,1,Yes
2015,2015-02-28 00:00:00.000,98.558498,16.36824,Government of Myanmar (Burma),KNU,1,1,Yes
2015,2015-09-30 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),KNU,2,1,Yes
2018,2018-04-05 00:00:00.000,97.445,18.064,Government of Myanmar (Burma),KNU,1,1,Yes
2018,2018-04-26 00:00:00.000,97.833333,17.133333,Government of Myanmar (Burma),KNU,2,1,Yes
2019,2019-01-18 00:00:00.000,97.376831,18.068215,Government of Myanmar (Burma),KNU,1,1,Yes
2020,2020-01-27 00:00:00.000,97.376831,18.068215,Government of Myanmar (Burma),KNU,1,1,Yes
2000,2000-01-24 00:00:00.000,98,22,Government of Myanmar (Burma),God's Army,23,1,Yes
2000,2000-01-27 00:00:00.000,98,22,Government of Myanmar (Burma),God's Army,23,1,Yes
2010,2010-08-05 00:00:00.000,98.238231,16.554022,Government of Myanmar (Burma),DKBA 5,5,1,Yes
2010,2010-11-07 00:00:00.000,98.506111,16.686389,Government of Myanmar (Burma),DKBA 5,3,1,Yes
2010,2010-11-08 00:00:00.000,98.506111,16.686389,Government of Myanmar (Burma),DKBA 5,6,1,Yes
2010,2010-11-10 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2010,2010-11-11 00:00:00.000,98.401944,15.301667,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2010,2010-11-14 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,2,1,Yes
2010,2010-11-27 00:00:00.000,98.506111,16.686389,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2010,2010-11-28 00:00:00.000,98.244408,15.833678,Government of Myanmar (Burma),DKBA 5,30,1,Yes
2010,2010-12-13 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,9,1,Yes
2011,2011-01-01 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,102,1,Yes
2011,2011-01-11 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2011,2011-03-15 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,3,1,Yes
2011,2011-04-22 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,3,1,Yes
2011,2011-04-24 00:00:00.000,98.244408,15.833678,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2011,2011-04-24 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2011,2011-06-26 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2011,2011-08-20 00:00:00.000,98.529827,16.541082,Government of Myanmar (Burma),DKBA 5,3,1,Yes
2013,2013-04-26 00:00:00.000,97.702667,17.942742,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2013,2013-04-26 00:00:00.000,97.818365,17.123867,Government of Myanmar (Burma),DKBA 5,37,1,Yes
2013,2013-04-28 00:00:00.000,97.679167,17.358333,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2013,2013-04-29 00:00:00.000,97.75,17.5,Government of Myanmar (Burma),DKBA 5,2,1,Yes
2014,2014-09-19 00:00:00.000,98.506111,16.686389,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2014,2014-09-26 00:00:00.000,98.506111,16.686389,Government of Myanmar (Burma),DKBA 5,2,1,Yes
2014,2014-09-26 00:00:00.000,97.625833,16.484722,Government of Myanmar (Burma),DKBA 5,5,1,Yes
2014,2014-10-04 00:00:00.000,97.733796,16.377338,Government of Myanmar (Burma),DKBA 5,5,1,Yes
2015,2015-02-27 00:00:00.000,98.244408,15.833678,Government of Myanmar (Burma),DKBA 5,4,1,Yes
2015,2015-07-02 00:00:00.000,98.323324,16.688302,Government of Myanmar (Burma),DKBA 5,2,1,Yes
2015,2015-07-06 00:00:00.000,98.228229,16.593758,Government of Myanmar (Burma),DKBA 5,1,1,Yes
2015,2015-07-06 00:00:00.000,97.833333,17.133333,Government of Myanmar (Burma),DKBA 5,2,1,Yes
2015,2015-07-07 00:00:00.000,98.323324,16.688302,Government of Myanmar (Burma),DKBA 5,2,1,Yes
2015,2015-07-08 00:00:00.000,98.323324,16.688302,Government of Myanmar (Burma),DKBA 5,5,1,Yes
1990,1990-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),ABSDF,25,1,Yes
1991,1991-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),ABSDF,25,1,Yes
1992,1992-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),ABSDF,25,1,Yes
1994,1994-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),ABSDF,25,1,Yes
1999,1999-11-03 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),ABSDF,1,1,Yes
1991,1991-12-01 00:00:00.000,92.366667,20.816667,Government of Myanmar (Burma),RSO,5,1,Yes
1991,1991-12-01 00:00:00.000,92.533333,20.866667,Government of Myanmar (Burma),RSO,5,1,Yes
1991,1991-12-26 00:00:00.000,92.366667,20.816667,Government of Myanmar (Burma),RSO,15,1,Yes
1994,1994-03-15 00:00:00.000,94.25,19,Government of Myanmar (Burma),RSO,50,1,Yes
1994,1994-05-03 00:00:00.000,92.360793,20.922044,Government of Myanmar (Burma),RSO,11,1,Yes
1994,1994-05-19 00:00:00.000,98,22,Government of Myanmar (Burma),RSO,4,1,Yes
1994,1994-05-19 00:00:00.000,92.529996,20.875369,Government of Myanmar (Burma),RSO,11,1,Yes
1994,1994-05-26 00:00:00.000,92.366667,20.816667,Government of Myanmar (Burma),RSO,1,1,Yes
1994,1994-05-26 00:00:00.000,92.366667,20.816667,Government of Myanmar (Burma),RSO,2,1,Yes
1994,1994-05-30 00:00:00.000,98,22,Government of Myanmar (Burma),RSO,3,1,Yes
1994,1994-05-31 00:00:00.000,92.777714,20.671289,Government of Myanmar (Burma),RSO,11,1,Yes
1994,1994-06-23 00:00:00.000,92.366667,20.816667,Government of Myanmar (Burma),RSO,16,1,Yes
1998,1998-01-26 00:00:00.000,98,22,Government of Myanmar (Burma),RSO,3,1,Yes
2012,2012-11-20 00:00:00.000,92.366667,20.816667,Government of Myanmar (Burma),RSO,1,1,Yes
2014,2014-05-13 00:00:00.000,92.267,21.06,Government of Myanmar (Burma),RSO,2,1,Yes
1990,1990-01-30 00:00:00.000,98.401944,15.301667,Government of Myanmar (Burma),NMSP,42,1,Yes
1990,1990-02-09 00:00:00.000,98.401944,15.301667,Government of Myanmar (Burma),NMSP,20,1,Yes
1990,1990-03-22 00:00:00.000,97.856653,15.249117,Government of Myanmar (Burma),NMSP,50,1,Yes
1994,1994-02-14 00:00:00.000,97.851753,15.761408,Government of Myanmar (Burma),NMSP,5,1,Yes
1994,1994-06-21 00:00:00.000,98,22,Government of Myanmar (Burma),NMSP,1,1,Yes
1994,1994-09-28 00:00:00.000,97.737339,16.023264,Government of Myanmar (Burma),NMSP,2,1,Yes
1994,1994-12-14 00:00:00.000,97.75,16.25,Government of Myanmar (Burma),NMSP,6,1,Yes
1995,1995-01-29 00:00:00.000,98,22,Government of Myanmar (Burma),NMSP,4,1,Yes
2013,2013-07-16 00:00:00.000,98.345385,14.107478,Government of Myanmar (Burma),NMSP,3,1,Yes
1996,1996-11-01 00:00:00.000,97.75,16.25,Government of Myanmar (Burma),BMA,80,1,Yes
1989,1989-02-21 00:00:00.000,96.366667,24.783333,Government of Myanmar (Burma),KIO,5,1,Yes
1989,1989-03-04 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,36,1,Yes
1989,1989-03-31 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,146,1,Yes
1989,1989-07-23 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,7,1,Yes
1990,1990-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,19,1,Yes
1990,1990-01-19 00:00:00.000,97.746222,22.942711,Government of Myanmar (Burma),KIO,6,1,Yes
1991,1991-01-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,25,1,Yes
1992,1992-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,25,1,Yes
2001,2001-03-21 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,4,1,Yes
2001,2001-03-21 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,7,1,Yes
2006,2006-01-02 00:00:00.000,97.937993,23.457894,Government of Myanmar (Burma),KIO,6,1,Yes
2011,2011-06-09 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,9,1,Yes
2011,2011-06-09 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,4,1,Yes
2011,2011-06-09 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-06-17 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,17,1,Yes
2011,2011-06-27 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-07-13 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,5,1,Yes
2011,2011-07-17 00:00:00.000,97.145268,25.785516,Government of Myanmar (Burma),KIO,11,1,Yes
2011,2011-07-18 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-07-19 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,4,1,Yes
2011,2011-07-19 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,5,1,Yes
2011,2011-07-20 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-07-20 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-07-24 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,4,1,Yes
2011,2011-07-26 00:00:00.000,96.711667,25.523056,Government of Myanmar (Burma),KIO,4,1,Yes
2011,2011-07-31 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,2,1,Yes
2011,2011-08-02 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,7,1,Yes
2011,2011-08-04 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-08-14 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,4,1,Yes
2011,2011-08-14 00:00:00.000,97.523889,24.878056,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-08-18 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,7,1,Yes
2011,2011-08-22 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-08-23 00:00:00.000,97.700333,25.035175,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-08-24 00:00:00.000,97.824722,23.688611,Government of Myanmar (Burma),KIO,2,1,Yes
2011,2011-08-28 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,7,1,Yes
2011,2011-08-30 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-08-30 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-09-05 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,4,1,Yes
2011,2011-09-06 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,2,1,Yes
2011,2011-09-06 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,2,1,Yes
2011,2011-09-15 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-09-23 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-10-01 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,14,1,Yes
2011,2011-11-15 00:00:00.000,97.4,25.383333,Government of Myanmar (Burma),KIO,6,1,Yes
2011,2011-11-21 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-11-22 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-11-23 00:00:00.000,97.563333,24.76,Government of Myanmar (Burma),KIO,6,1,Yes
2011,2011-11-24 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,10,1,Yes
2011,2011-11-28 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,2,1,Yes
2011,2011-11-30 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,5,1,Yes
2011,2011-12-02 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,5,1,Yes
2011,2011-12-03 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2011,2011-12-04 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,2,1,Yes
2011,2011-12-05 00:00:00.000,97.940278,23.456667,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-12-05 00:00:00.000,98.308611,24.099167,Government of Myanmar (Burma),KIO,19,1,Yes
2011,2011-12-06 00:00:00.000,97.4,25.383333,Government of Myanmar (Burma),KIO,3,1,Yes
2011,2011-12-29 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,2,1,Yes
2012,2012-01-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2012,2012-01-01 00:00:00.000,97.937993,23.457894,Government of Myanmar (Burma),KIO,5,1,Yes
2012,2012-01-01 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,5,1,Yes
2012,2012-01-01 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,4,1,Yes
2012,2012-01-01 00:00:00.000,97.401111,23.0925,Government of Myanmar (Burma),KIO,5,1,Yes
2012,2012-01-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,173,1,Yes
2012,2012-01-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,5,1,Yes
2012,2012-03-01 00:00:00.000,97.561389,24.979722,Government of Myanmar (Burma),KIO,50,1,Yes
2012,2012-03-01 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,51,1,Yes
2012,2012-03-27 00:00:00.000,97.145268,25.785516,Government of Myanmar (Burma),KIO,3,1,Yes
2012,2012-04-16 00:00:00.000,98.376667,25.600833,Government of Myanmar (Burma),KIO,31,1,Yes
2012,2012-04-24 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,31,1,Yes
2012,2012-04-26 00:00:00.000,97.145268,25.785516,Government of Myanmar (Burma),KIO,4,1,Yes
2012,2012-04-27 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,2,1,Yes
2012,2012-05-01 00:00:00.000,98.376667,25.600833,Government of Myanmar (Burma),KIO,6,1,Yes
2012,2012-05-01 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,21,1,Yes
2012,2012-05-04 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,1,1,Yes
2012,2012-05-04 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,1,1,Yes
2012,2012-05-05 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,2,1,Yes
2012,2012-05-14 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,10,1,Yes
2012,2012-06-18 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,13,1,Yes
2012,2012-07-06 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,4,1,Yes
2012,2012-07-08 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,2,1,Yes
2012,2012-07-22 00:00:00.000,97.561389,24.979722,Government of Myanmar (Burma),KIO,4,1,Yes
2012,2012-08-09 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,71,1,Yes
2012,2012-08-27 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,17,1,Yes
2012,2012-08-29 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,50,1,Yes
2012,2012-09-06 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,3,1,Yes
2012,2012-09-13 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,1,1,Yes
2012,2012-09-29 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,6,1,Yes
2012,2012-10-17 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,5,1,Yes
2012,2012-10-27 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,3,1,Yes
2012,2012-11-04 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,8,1,Yes
2012,2012-11-16 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,2,1,Yes
2012,2012-12-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,4,1,Yes
2012,2012-12-08 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,24,1,Yes
2012,2012-12-12 00:00:00.000,98.376667,25.600833,Government of Myanmar (Burma),KIO,22,1,Yes
2012,2012-12-14 00:00:00.000,97.563333,24.76,Government of Myanmar (Burma),KIO,50,1,Yes
2012,2012-12-18 00:00:00.000,96.597658,25.195076,Government of Myanmar (Burma),KIO,1,1,Yes
2012,2012-12-27 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-01-14 00:00:00.000,97.563333,24.76,Government of Myanmar (Burma),KIO,3,1,Yes
2013,2013-01-19 00:00:00.000,96.711667,25.523056,Government of Myanmar (Burma),KIO,2,1,Yes
2013,2013-01-19 00:00:00.000,97.561389,24.979722,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-01-21 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,6,1,Yes
2013,2013-01-22 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,2,1,Yes
2013,2013-01-23 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,30,1,Yes
2013,2013-01-24 00:00:00.000,96.60305,25.010372,Government of Myanmar (Burma),KIO,16,1,Yes
2013,2013-01-29 00:00:00.000,98.081591,27.882151,Government of Myanmar (Burma),KIO,2,1,Yes
2013,2013-02-25 00:00:00.000,98.376667,25.600833,Government of Myanmar (Burma),KIO,8,1,Yes
2013,2013-03-13 00:00:00.000,97.940278,23.456667,Government of Myanmar (Burma),KIO,6,1,Yes
2013,2013-03-21 00:00:00.000,97.1167,27.5167,Government of Myanmar (Burma),KIO,8,1,Yes
2013,2013-06-10 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,2,1,Yes
2013,2013-06-18 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-07-23 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,3,1,Yes
2013,2013-08-03 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,4,1,Yes
2013,2013-08-03 00:00:00.000,97.95,22.95,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-08-03 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-08-04 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-08-17 00:00:00.000,97.62949,24.35311,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-08-19 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-08-28 00:00:00.000,97.4275,27.333056,Government of Myanmar (Burma),KIO,3,1,Yes
2013,2013-08-29 00:00:00.000,97.4275,27.333056,Government of Myanmar (Burma),KIO,2,1,Yes
2013,2013-09-03 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-09-03 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-09-10 00:00:00.000,98.101389,23.576667,Government of Myanmar (Burma),KIO,3,1,Yes
2013,2013-09-10 00:00:00.000,97.296584,24.116131,Government of Myanmar (Burma),KIO,2,1,Yes
2013,2013-09-14 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-09-25 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,8,1,Yes
2013,2013-10-23 00:00:00.000,97.17478,23.8666,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-11-07 00:00:00.000,97.296584,24.116131,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-11-17 00:00:00.000,97.13234,23.75817,Government of Myanmar (Burma),KIO,1,1,Yes
2013,2013-11-23 00:00:00.000,97.13234,23.75817,Government of Myanmar (Burma),KIO,2,1,Yes
2014,2014-01-30 00:00:00.000,97.20207,23.70062,Government of Myanmar (Burma),KIO,1,1,Yes
2014,2014-02-12 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,2,1,Yes
2014,2014-04-04 00:00:00.000,97.233333,24.083333,Government of Myanmar (Burma),KIO,22,1,Yes
2014,2014-06-23 00:00:00.000,97.95,22.95,Government of Myanmar (Burma),KIO,4,1,Yes
2014,2014-08-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,7,1,Yes
2014,2014-08-10 00:00:00.000,96.772778,26.268889,Government of Myanmar (Burma),KIO,4,1,Yes
2014,2014-10-01 00:00:00.000,98.09862,23.57597,Government of Myanmar (Burma),KIO,17,1,Yes
2014,2014-10-06 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,1,1,Yes
2014,2014-10-08 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,2,1,Yes
2014,2014-11-19 00:00:00.000,97.563333,24.76,Government of Myanmar (Burma),KIO,23,1,Yes
2015,2015-01-01 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-02-02 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,6,1,Yes
2015,2015-03-07 00:00:00.000,96.313449,24.942261,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-03-09 00:00:00.000,97.681672,23.836011,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-03-10 00:00:00.000,97.684044,25.312833,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-03-20 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-03-20 00:00:00.000,97.937993,23.457894,Government of Myanmar (Burma),KIO,4,1,Yes
2015,2015-03-21 00:00:00.000,97.398028,23.951216,Government of Myanmar (Burma),KIO,20,1,Yes
2015,2015-03-21 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-03-22 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,3,1,Yes
2015,2015-03-24 00:00:00.000,97.937993,23.457894,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-03-30 00:00:00.000,97.794534,22.967835,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-03-30 00:00:00.000,97.937993,23.457894,Government of Myanmar (Burma),KIO,9,1,Yes
2015,2015-04-05 00:00:00.000,96.313449,24.942261,Government of Myanmar (Burma),KIO,6,1,Yes
2015,2015-04-05 00:00:00.000,96.935365,25.30543,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-04-14 00:00:00.000,98.182546,23.306511,Government of Myanmar (Burma),KIO,3,1,Yes
2015,2015-04-14 00:00:00.000,98.182546,23.306511,Government of Myanmar (Burma),KIO,4,1,Yes
2015,2015-04-18 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-04-18 00:00:00.000,96.712445,26.509765,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-05-23 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,4,1,Yes
2015,2015-06-01 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-06-25 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-06-29 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-07-01 00:00:00.000,98,22,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-07-01 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,19,1,Yes
2015,2015-07-13 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,2,1,Yes
2015,2015-07-15 00:00:00.000,97.690333999999993,26.578355,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-08-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,3,1,Yes
2015,2015-09-07 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-09-08 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-09-22 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,3,1,Yes
2015,2015-09-22 00:00:00.000,97.904722,23.979167,Government of Myanmar (Burma),KIO,6,1,Yes
2015,2015-09-23 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,3,1,Yes
2015,2015-09-27 00:00:00.000,97.358798,23.960382,Government of Myanmar (Burma),KIO,14,1,Yes
2015,2015-10-01 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,5,1,Yes
2015,2015-11-14 00:00:00.000,96.313449,24.942261,Government of Myanmar (Burma),KIO,1,1,Yes
2015,2015-11-30 00:00:00.000,96.316667,25.616667,Government of Myanmar (Burma),KIO,2,1,Yes
2016,2016-03-30 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,1,1,Yes
2016,2016-04-17 00:00:00.000,97.428146,24.814875,Government of Myanmar (Burma),KIO,2,1,Yes
2016,2016-04-21 00:00:00.000,97.794534,22.967835,Government of Myanmar (Burma),KIO,2,1,Yes
2016,2016-05-07 00:00:00.000,96.481155,25.679728,Government of Myanmar (Burma),KIO,1,1,Yes
2016,2016-05-14 00:00:00.000,97.178824,24.260229,Government of Myanmar (Burma),KIO,1,1,Yes
2016,2016-05-17 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,1,1,Yes
2016,2016-06-26 00:00:00.000,97.5,26,Government of Myanmar (Burma),KIO,3,1,Yes
2016,2016-07-06 00:00:00.000,96.481155,25.679728,Government of Myanmar (Burma),KIO,5,1,Yes
2016,2016-08-07 00:00:00.000,97.461027,24.613717,Government of Myanmar (Burma),KIO,2,1,Yes
2016,2016-09-21 00:00:00.000,97.684044,25.312833,Government of Myanmar (Burma),KIO,2,1,Yes
2016,2016-10-01 00:00:00.000,98.034294,23.705275,Government of Myanmar (Burma),KIO,1,1,Yes
2016,2016-11-20 00:00:00.000,98.129121,23.957135,Government of Myanmar (Burma),KIO,9,1,Yes
2016,2016-12-14 00:00:00.000,97.963328,23.301979,Government of Myanmar (Burma),KIO,2,1,Yes
2017,2017-01-08 00:00:00.000,97.684044,25.312833,Government of Myanmar (Burma),KIO,7,1,Yes
