"","X.2","X.1","X","id","year","date_start","conflict_name","dyad_name","longitude","latitude","where_prec","priogrid_gid","country","country_id","deaths_a","deaths_b","deaths_civilians","deaths_unknown","side_a_new_id","side_a","side_a_relevant","side_b_new_id","side_b","side_b_relevant","deaths_battle","deaths_total","event_relevant","event_civilians","event_community","event_rel_out"
"22",22,22,22,15943,2010,"2010-09-05","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13,11.5,4,146547,"Nigeria",475,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
"23",23,23,23,15949,2010,"2010-12-24","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.160274,11.84644,1,146547,"Nigeria",475,0,0,5,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,5,0,1,0,0
"24",24,24,24,15951,2010,"2010-10-09","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.160274,11.84644,1,146547,"Nigeria",475,0,0,2,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,2,0,1,0,0
"25",25,25,25,15953,2010,"2010-09-21","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.160274,11.84644,1,146547,"Nigeria",475,0,0,2,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,2,0,1,0,0
"26",26,26,26,15955,2010,"2010-10-06","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13.160274,11.84644,1,146547,"Nigeria",475,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
"27",27,27,27,15958,2009,"2009-07-30","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.160274,11.84644,1,146547,"Nigeria",475,0,90,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,90,90,1,0,0,0
"28",28,28,28,15967,2010,"2010-08-25","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.160274,11.84644,1,146547,"Nigeria",475,2,0,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,2,1,0,0,0
"29",29,29,29,15969,2010,"2010-12-05","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.160274,11.84644,1,146547,"Nigeria",475,0,0,3,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,0,3,1,0,0,0
"30",30,30,30,15970,2009,"2009-07-26","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.160274,11.84644,1,146547,"Nigeria",475,13,87,0,103,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,100,203,1,0,0,0
"31",31,31,31,15972,2010,"2010-08-13","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",13.160274,11.84644,1,146547,"Nigeria",475,3,0,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,3,3,1,0,0,0
